Date	PD Code	Area Code	AC Code MH	Project Nr	Item Description	Amount
01/01/2025	10S1360	10	1	1709	02 Islamabad Internet & Elec Bills	25000.00
01/01/2025	60B2050	60A-60C	4	1709	03 Islamabad Contractor	100000.00
01/01/2025	60C2010	60A-60C	4	1709	04 Islamabad Marble Stone	150000.00
02/01/2025	60D3000	60D	5	1709	05 Islamabad Electrical	53350.00
02/01/2025	10S1410	10	1	1709	06 Islamabad Tools	4000.00
02/01/2025	60D3000	60D	5	1709	07 Islamabad AC Deposit	50875.00
01/01/2025	10S1460	10	1	1709	08 Islamabad Generator Fuel	2000.00
01/01/2025	10S1460	10	1	1709	09 Islamabad Generator Fuel	2100.00
01/01/2025	10S1460	10	1	1709	10 Islamabad Generator Fuel	2050.00
04/01/2025	60C2010	60A-60C	4	1709	14 Islamabad Contractor	200000.00
04/01/2025	10S1460	10	1	1709	15 Islamabad Generator Fuel	500.00
04/01/2025	20G2030	20	3	1709	16 Islamabad Sand	7480.00
06/01/2025	60C1092	60A-60C	4	1709	18 Islamabad Plumbing Parts	2700.00
01/01/2025	60B3010	60A-60C	4	1709	19 Islamabad Contractor	8000.00
01/01/2025	60D3000	60D	5	1709	21 Islamabad Electric Tape & Fixing	2950.00
01/01/2025	60D3000	60D	5	1709	22 Islamabad Electrics	480.00
02/01/2025	10S1360	10	1	1709	25 Islamabad Electric Bill	9885.00
04/01/2025	60B2050	60A-60C	4	1709	26 Islamabad Steel External Door	40000.00
07/01/2025	60D3000	60D	5	1709	01 Islamabad AC Units	985000.00
09/01/2025	10S1410	10	1	1709	01 Islamabad Masking Tape	1290.00
09/01/2025	60F0100	60F	7	1709	02 Islamabad LED TVs, Water Heater, Water Dispenser	553500.00
09/01/2025	20G2030	20	3	1709	03 Islamabad Concrete	21400.00
09/01/2025	60B2011	60A-60C	4	1709	04 Islamabad Marble Supplier External	134600.00
10/01/2025	60B2050	60A-60C	4	1709	05 Islamabad Painter Contractor	50000.00
09/01/2025	60C1092	60A-60C	4	1709	06 Islamabad Sanitaryware	28100.00
10/01/2025	60C1092	60A-60C	4	1709	07 Islamabad Cement & Tile Bond	44200.00
13/01/2025	60C1092	60A-60C	4	1709	09 Islamabad Washrooms	86700.00
08/01/2025	60D6030	60D	5	1709	10 Islamabad Monitor Cable	3000.00
08/01/2025	60D5040	60D	5	1709	11 Islamabad Electric Fixings	390.00
13/01/2025	60C1092	60A-60C	4	1709	12 Islamabad Contractor	100000.00
13/01/2025	10S1410	10	1	1709	13 Islamabad Expanding Foam	1000.00
14/01/2025	10S1410	10	1	1709	25 Islamabad Generator Fuel	2000.00
14/01/2025	60D7050	60D	5	1709	26 Islamabad CCTV Cable	300.00
14/01/2025	10S1410	10	1	1709	27 Islamabad Generator Fuel	500.00
14/01/2025	60D7050	60D	5	1709	28 Islamabad Fixings	200.00
14/01/2025	60D7050	60D	5	1709	29 Islamabad Fixings	765.00
14/01/2025	10S1410	10	1	1709	30 Islamabad Generator Fuel	2000.00
14/01/2025	10S1410	10	1	1709	32 Islamabad Generator Fuel	300.00
14/01/2025	10S1200	10	1	1709	33 Islamabad Cleaning Supplies	500.00
14/01/2025	60D6030	60D	5	1709	35 Islamabad Cable Ties	100.00
15/01/2025	60E2050	60E	6	1709	37 Islamabad Table & Cabinet	70000.00
14/01/2025	60D7050	60D	5	1709	38 Islamabad CCTV Equipment	12500.00
16/01/2025	60F0100	60F	7	1709	39 Islamabad JW.ORG Signage	35000.00
16/01/2025	60D6030	60D	5	1709	40 Islamabad Aux Cable	1000.00
16/01/2025	60D6030	60D	5	1709	41 Islamabad Electric	15950.00
16/01/2025	60D6030	60D	5	1709	42 Islamabad Electric	1200.00
16/01/2025	60D7050	60D	5	1709	43 Islamabad Cables	4800.00
16/01/2025	10S1410	10	1	1709	44 Islamabad Bolt	210.00
29/01/2025	60B3010	60A-60C	4	1709	01 Islamabad Masonry Labour	47000.00
30/01/2025	60C2010	60A-60C	4	1709	02 Islamabad Painter Labour	68300.00
03/02/2025	10S1330	10	1	1709	04 Islamabad Electric Bill	44869.00
29/01/2025	60C2010	60A-60C	4	1709	05 Islamabad Final Marble Polish	200000.00
29/01/2025	60D3000	60D	5	1709	06 Islamabad HVAC Installatioin Final Payment	120000.00
03/02/2025	60B2050	60A-60C	4	1709	07 Islamabad Labour	5000.00
31/01/2025	60B2020	60A-60C	4	1709	08 Islamabad Contractor Final Payment	150875.00
29/01/2025	10S1200	10	1	1838	11 Rawalpindi Marble Deposit	200000.00
05/02/2025	60B2010	60A-60C	4	1838	01 Rawalpindi Contractor	200000.00
06/02/2025	60C2010	60A-60C	4	1838	02 Rawalpindi Marble	200000.00
04/02/2025	60B2010	60A-60C	4	1838	03 Rawalpindi Marble	100000.00
04/02/2025	60C1090	60A-60C	4	1838	04 Rawalpindi Sand Cement Bricks	42250.00
04/02/2025	10S1410	10	1	1838	05 Rawalpindi Hammer	420.00
07/02/2025	10S1200	10	1	1838	06 Rawalpindi Labour	5000.00
05/02/2025	60B2010	60A-60C	4	1838	07 Rawalpindi Steel Reinforcement	45169.00
06/02/2025	10S1410	10	1	1838	08 Rawalpindi Delivery Costs	3000.00
14/02/2025	10S1410	10	1	1838	01 Rawalpindi Fixings	200.00
13/02/2025	60C2011	60A-60C	4	1838	02 Rawalpindi Marble Interior	60000.00
13/02/2025	60B1020	60A-60C	4	1838	03 Rawalpindi Reinforcing Bar	350.00
11/02/2025	10S1410	10	1	1838	04 Rawalpindi Fixings	450.00
11/02/2025	10S1200	10	1	1838	05 Rawalpindi Project Food	3700.00
13/02/2025	60B1020	60A-60C	4	1838	06 Rawalpindi Contractor Labour	10000.00
11/02/2025	60B1020	60A-60C	4	1838	07 Rawalpindi Contractor Shuttering	80000.00
11/02/2025	60B1020	60A-60C	4	1838	08 Rawalpindi Sand Cement Stone	23900.00
11/02/2025	60B1020	60A-60C	4	1838	09 Rawalpindi Epoxy Set	1400.00
12/02/2025	10S1200	10	1	1838	10 Rawalpindi Generator Fuel	1801.19
11/02/2025	10S1410	10	1	1838	11 Rawalpindi Fixings	450.00
11/02/2025	60B1020	60A-60C	4	1838	12 Rawalpindi Timber	2200.00
11/02/2025	10S1200	10	1	1838	13 Rawalpindi Generator Fuel	2000.00
13/02/2025	60D6030	60D	5	1838	14 Rawalpindi Monitor	20000.00
11/02/2025	10S1410	10	1	1838	15 Rawalpindi Fixings	450.00
11/02/2025	60D2000	60D	5	1838	16 Rawalpindi Pipe	750.00
11/02/2025	60B1020	60A-60C	4	1838	17 Rawalpindi Shuttering	6160.00
11/02/2025	60B1020	60A-60C	4	1838	18 Rawalpindi Concrete	20500.00
11/02/2025	60D6030	60D	5	1846	28 Karachi Akhtar Colony Kingdom Hall Amp	60000.00
18/02/2025	60C1092	60A-60C	4	1838	03 Rawalpindi Drainage Parts	4380.00
15/02/2025	60D2000	60D	5	1838	04 Rawalpindi Solvent Weld	350.00
18/02/2025	60D2000	60D	5	1838	05 Rawalpindi Fixings	320.00
18/02/2025	10S1200	10	1	1838	06 Rawalpindi Rubbish Bags	400.00
15/02/2025	60B1020	60A-60C	4	1838	07 Rawalpindi Wire for Reinforcement	990.00
16/02/2025	60B1020	60A-60C	4	1838	08 Rawalpindi Contractor Payments	200000.00
18/02/2025	60B1020	60A-60C	4	1838	09 Rawalpindi AC removal	8100.00
19/02/2025	60D5000	60D	5	1838	10 Rawalpindi Electrical	18100.00
20/02/2025	10S1440	10	1	1838	11 Rawalpindi Safety Equipment PPE	20660.00
19/02/2025	60D5000	60D	5	1838	12 Rawalpindi Electric Tape	180.00
19/02/2025	60D2000	60D	5	1838	13 Rawalpindi Plumbing Parts	1110.00
17/02/2025	60D5000	60D	5	1838	14 Rawalpindi Electrical Parts	4000.00
17/02/2025	10S1200	10	1	1838	17 Rawalpindi Rubbish Removal	10000.00
18/02/2025	60B1020	60A-60C	4	1838	18 Rawalpindi Sand Cement	24000.00
26/02/2025	60D5000	60D	5	1838	01 Rawalpindi Electrical	930.00
22/02/2025	60D5000	60D	5	1838	02 Rawalpindi Electrical	3020.00
27/02/2025	10S1450	10	1	1838	03 Rawalpindi Steel Props Hire	100000.00
24/02/2025	60B1020	60A-60C	4	1838	04 Rawalpindi Labour	300000.00
28/02/2025	60D2000	60D	5	1838	05 Rawalpindi Plumbing Labour	10000.00
28/02/2025	60D6030	60D	5	1837	06 Motra TVs	186000.00
22/02/2025	60B2050	60A-60C	4	1838	14 Rawalpindi Tile Grout	45500.00
02/03/2025	60B1020	60A-60C	4	1838	15 Rawalpindi Bricks and Sand	108500.00
02/03/2025	60D5000	60D	5	1838	16 Rawalpindi Electrical Parts	16868.00
27/02/2025	60D5000	60D	5	1838	17 Rawalpindi Electric Meter Box	4300.00
27/02/2025	10S1020	10	1	1838	18 Rawalpindi Rubbish Removal	10500.00
27/02/2025	10S1200	10	1	1838	19 Rawalpindi Generator Fuel	1800.00
26/02/2025	10S1200	10	1	1838	20 Rawalpindi Generator Fuel	2470.00
27/02/2025	60D2000	60D	5	1838	21 Rawalpindi Plumbing	100.00
26/02/2025	60D2000	60D	5	1838	22 Rawalpindi Plumbing	305.00
26/02/2025	60D2000	60D	5	1838	23 Rawalpindi Plumbing	490.00
27/02/2025	10S1430	10	1	1838	24 Rawalpindi Paint Stripper	240.00
26/02/2025	60D2000	60D	5	1838	25 Rawalpindi Plumbing	18000.00
22/02/2025	60B2050	60A-60C	4	1838	26 Rawalpindi Marble External	200000.00
28/02/2025	60D2000	60D	5	1838	27 Rawalpindi Plumbing	400.00
26/02/2025	60D5000	60D	5	1838	28 Rawalpindi Electrical	1800.00
06/03/2025	60B2050	60A-60C	4	1838	01 Rawalpindi Labour	200000.00
04/03/2025	60B2010	60A-60C	4	1838	02 Rawalpindi Timber	1600.00
05/03/2025	10S1200	10	1	1838	03 Rawalpindi Waste Removal	10000.00
06/03/2025	10S1200	10	1	1838	04 Rawalpindi Waste Removal	7400.00
04/03/2025	60D5000	60D	5	1838	05 Rawalpindi Electrical	1190.00
04/03/2025	10S1410	10	1	1838	06 Rawalpindi Power Tools	16000.00
04/03/2025	10S1410	10	1	1838	07 Rawalpindi Hand Tools	2600.00
05/03/2025	60D5040	60D	5	1838	08 Rawalpindi Electric Cable	15970.00
05/03/2025	60B2020	60A-60C	4	1838	09 Rawalpindi Marble	118200.00
05/03/2025	10S1200	10	1	1838	10 Rawalpindi Delivery	5750.00
10/03/2025	60C2032	60A-60C	4	1838	01 Rawalpindi Marble	200000.00
10/03/2025	60C1092	60A-60C	4	1838	02 Rawalpindi Steel Grill	100000.00
07/03/2025	60D5040	60D	5	1838	03 Rawalpindi Electrical Items	15970.00
11/03/2025	60C1090	60A-60C	4	1838	04 Rawalpindi Tile Adhesive	54000.00
07/03/2025	60C1090	60A-60C	4	1838	05 Rawalpindi Tile Bond	102000.00
10/03/2025	60C1092	60A-60C	4	1838	06 Rawalpindi Plumbing Labour	7500.00
10/03/2025	60C1090	60A-60C	4	1838	07 Rawalpindi Timber	2600.00
07/03/2025	10S1440	10	1	1838	08 Rawalpindi Cleaning Items	2330.00
11/03/2025	10S1440	10	1	1838	09 Rawalpindi Generator Fuel	1600.00
10/03/2025	60D6030	60D	5	1838	10 Rawalpindi HDMI Cable	1300.00
10/03/2025	60D5000	60D	5	1838	11 Rawalpindi UPS Battery Charge	2000.00
11/03/2025	60D5000	60D	5	1838	12 Rawalpindi UPS Repair	2500.00
07/03/2025	60D6030	60D	5	1838	16 Rawalpindi Cable	6950.00
